                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.92244,                 3.5815,                  1.348,                0.35732,                0.76888,                0.47492,                0.29107,                 1.2511,                  4.261,                  1.564,             0.00047409,             0.00047409,             0.00047409
                      2,                0.75509,                 2.0384,                 1.1549,                0.71581,                0.71556,                0.75693,                 0.4862,                0.96834,                 1.5366,                 1.3246,             0.00094101,             0.00094101,             0.00094101
                      3,                0.70022,                 1.3817,                 1.0969,                 0.7554,                0.77132,                0.81629,                0.51899,                0.94308,                 1.1745,                 1.2095,              0.0013985,              0.0013985,              0.0013985
                      4,                0.64011,                0.99953,                 1.0572,                0.56685,                0.76623,                0.73676,                0.48669,                 0.8915,                0.93339,                 1.1949,              0.0013866,              0.0013866,              0.0013866
                      5,                0.64924,                0.84367,                  1.041,                0.67704,                0.78525,                0.80537,                0.57164,                0.74667,                0.81142,                 1.0476,              0.0013866,              0.0013866,              0.0013866
                      6,                0.58994,                0.72469,                 1.0162,                0.81903,                0.88103,                 0.8909,                0.62241,                 0.7815,                0.58245,                 1.0085,              0.0013724,              0.0013724,              0.0013724
                      7,                0.57199,                0.67356,                0.98838,                0.83501,                0.80581,                0.85261,                0.59278,                0.72327,                0.57336,                 0.9853,              0.0013583,              0.0013583,              0.0013583
                      8,                0.56995,                0.63538,                0.98069,                0.79969,                0.82287,                  0.862,                0.62948,                0.69537,                0.63446,                 0.9433,              0.0013441,              0.0013441,              0.0013441
                      9,                0.54644,                 0.6033,                0.96455,                0.84331,                0.86324,                0.90966,                0.67914,                0.67181,                0.49607,                0.93096,                0.00133,                0.00133,                0.00133
                     10,                0.54904,                0.57658,                 0.9533,                0.85044,                0.80452,                0.86885,                0.66499,                 0.6398,                0.52953,                 0.8928,              0.0013158,              0.0013158,              0.0013158
                     11,                0.51994,                 0.5529,                0.94996,                0.88949,                0.89349,                0.92902,                0.69718,                 0.6764,                0.47408,                0.90913,              0.0013017,              0.0013017,              0.0013017
                     12,                0.52722,                0.53155,                0.94951,                0.91038,                0.87407,                0.91981,                0.69175,                0.65302,                0.46052,                0.90939,              0.0012875,              0.0012875,              0.0012875
                     13,                0.50888,                0.51084,                0.93254,                0.84972,                0.88535,                0.90665,                0.67895,                 0.6577,                0.45889,                0.89371,              0.0012734,              0.0012734,              0.0012734
                     14,                0.52025,                0.50531,                0.94312,                0.88373,                0.82844,                0.90799,                0.66918,                0.64856,                0.47662,                0.87436,              0.0012592,              0.0012592,              0.0012592
                     15,                 0.5007,                0.48405,                0.92978,                0.87447,                0.90225,                0.92132,                0.69942,                0.63455,                0.46315,                0.88132,              0.0012451,              0.0012451,              0.0012451
                     16,                0.48947,                0.47316,                0.92502,                0.89116,                0.87394,                0.90962,                0.70059,                0.61654,                 0.4651,                 0.8601,              0.0012309,              0.0012309,              0.0012309
                     17,                 0.5032,                0.47064,                0.92286,                0.87574,                0.87929,                0.91155,                0.67926,                0.62439,                0.45343,                0.87814,              0.0012168,              0.0012168,              0.0012168
                     18,                0.49275,                0.46967,                0.92726,                0.92107,                0.91568,                0.94653,                0.72771,                0.62367,                0.41553,                0.86072,              0.0012026,              0.0012026,              0.0012026
                     19,                0.48058,                 0.4624,                0.91522,                0.91565,                0.90067,                0.94281,                0.73026,                0.61804,                0.39974,                0.85352,              0.0011885,              0.0011885,              0.0011885
                     20,                0.47072,                0.45088,                0.90575,                0.88771,                0.90027,                0.93102,                0.72324,                0.60046,                0.41938,                0.84393,              0.0011744,              0.0011744,              0.0011744
                     21,                0.47939,                0.44188,                0.90687,                0.90426,                0.92076,                0.93915,                0.73405,                0.60493,                0.41003,                0.85139,              0.0011602,              0.0011602,              0.0011602
                     22,                0.48073,                0.44593,                0.91218,                0.89188,                0.84093,                0.91679,                0.67557,                0.64428,                 0.4796,                0.89853,              0.0011461,              0.0011461,              0.0011461
                     23,                0.44889,                0.41997,                0.90285,                0.87684,                0.93423,                0.94329,                0.73345,                0.58907,                0.37472,                0.83977,              0.0011319,              0.0011319,              0.0011319
                     24,                0.45737,                0.42337,                0.90562,                0.90711,                0.94192,                0.95348,                  0.746,                0.59439,                0.37902,                0.83652,              0.0011178,              0.0011178,              0.0011178
                     25,                0.45631,                0.42881,                0.89815,                0.91532,                0.91935,                0.95151,                0.75731,                0.58113,                0.35718,                0.82237,              0.0011036,              0.0011036,              0.0011036
                     26,                0.44887,                 0.4089,                0.89511,                 0.9318,                0.92143,                0.94501,                0.74483,                0.57332,                0.37918,                0.82285,              0.0010895,              0.0010895,              0.0010895
                     27,                0.45864,                0.41746,                0.90064,                0.90509,                0.91416,                0.93964,                0.74395,                0.58598,                0.41134,                0.81992,              0.0010753,              0.0010753,              0.0010753
                     28,                 0.4481,                 0.4049,                0.89693,                0.92178,                0.89615,                0.93384,                0.73821,                 0.5923,                0.38827,                0.84411,              0.0010612,              0.0010612,              0.0010612
