                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.62751,                  1.708,                0.98172,                0.56134,                0.68353,                  0.611,                0.55609,                0.36652,                 1.2542,                0.83776,             0.00047116,             0.00047116,             0.00047116
                      2,                 0.5145,                 1.0547,                0.90851,                 0.6171,                0.86069,                0.68452,                0.59819,                0.46314,                 1.0594,                0.87798,             0.00092873,             0.00092873,             0.00092873
                      3,                0.52956,                0.91332,                0.91428,                0.56898,                0.53466,                0.66054,                0.57077,                0.42343,                  1.956,                 0.8677,              0.0013674,              0.0013674,              0.0013674
                      4,                0.52701,                0.79436,                0.91219,                0.60946,                0.61672,                0.61504,                0.54174,                0.39973,                0.99304,                0.85547,              0.0013441,              0.0013441,              0.0013441
                      5,                0.48815,                0.71116,                0.90067,                0.82993,                0.82017,                0.90867,                0.82962,                0.33611,                0.55521,                0.83514,              0.0013441,              0.0013441,              0.0013441
                      6,                0.46837,                0.65301,                0.89497,                 0.8665,                0.88241,                0.94156,                0.87593,                0.31386,                0.50741,                0.81828,              0.0013158,              0.0013158,              0.0013158
                      7,                0.45089,                0.59794,                0.89074,                0.80194,                0.87899,                0.91977,                0.84909,                0.30277,                 0.5276,                0.81469,              0.0012875,              0.0012875,              0.0012875
                      8,                0.43556,                0.58534,                0.88802,                0.86382,                0.88543,                0.94815,                0.87928,                0.31257,                 0.4103,                0.82198,              0.0012592,              0.0012592,              0.0012592
                      9,                0.42503,                0.56524,                0.87973,                0.85143,                 0.8518,                0.92619,                0.86662,                0.29553,                0.51356,                0.80548,              0.0012309,              0.0012309,              0.0012309
                     10,                0.42553,                0.55057,                0.88754,                0.90793,                0.90572,                0.95144,                0.88299,                0.30117,                0.39328,                0.82154,              0.0012026,              0.0012026,              0.0012026
                     11,                0.40626,                0.51867,                0.87887,                0.86618,                0.92047,                0.96372,                 0.9085,                 0.2724,                0.40351,                0.80779,              0.0011744,              0.0011744,              0.0011744
                     12,                0.40544,                0.50511,                0.88311,                0.90731,                0.89195,                0.95169,                 0.9075,                0.26172,                0.37034,                0.80454,              0.0011461,              0.0011461,              0.0011461
                     13,                0.40776,                0.48932,                0.88325,                  0.931,                0.87445,                0.96551,                0.90815,                0.28631,                0.34217,                0.80943,              0.0011178,              0.0011178,              0.0011178
                     14,                 0.3879,                0.48281,                0.87449,                0.93837,                 0.8734,                0.96243,                0.92304,                0.24082,                 0.3677,                0.79814,              0.0010895,              0.0010895,              0.0010895
                     15,                0.38097,                0.46909,                0.87345,                0.97185,                0.91099,                0.97828,                0.93987,                0.24737,                0.28765,                0.79506,              0.0010612,              0.0010612,              0.0010612
                     16,                0.36673,                0.44951,                0.87055,                0.95253,                 0.8823,                0.96647,                 0.9254,                0.25761,                 0.3056,                0.80388,              0.0010329,              0.0010329,              0.0010329
                     17,                0.36661,                0.43814,                0.86676,                0.96236,                0.94924,                0.98157,                0.93987,                0.23072,                0.27377,                0.79377,              0.0010046,              0.0010046,              0.0010046
                     18,                0.37187,                0.43591,                0.86965,                0.90686,                0.92008,                0.95919,                0.92456,                0.23342,                0.30549,                0.79393,             0.00097629,             0.00097629,             0.00097629
                     19,                0.36525,                0.41973,                0.87108,                0.93566,                0.94044,                0.97916,                0.94597,                0.23156,                0.30375,                0.79352,               0.000948,               0.000948,               0.000948
