                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.31172,                 0.3366,                0.85546,                 0.9577,                0.96614,                0.98472,                  0.969,                0.18637,                0.20128,                0.78005,               0.000467,               0.000467,               0.000467
                     37,                0.30909,                0.34281,                0.85502,                0.97709,                0.96614,                0.98357,                0.97015,                 0.1739,                0.18918,                0.77491,              0.0004387,              0.0004387,              0.0004387
                     38,                0.30116,                0.32237,                0.85392,                0.95915,                 0.9631,                0.98415,                0.96875,                0.17626,                0.20464,                0.77526,             0.00041041,             0.00041041,             0.00041041
                     39,                 0.3009,                0.32276,                0.85445,                0.97646,                0.96197,                0.98435,                0.96934,                0.17006,                0.18091,                0.77445,             0.00038211,             0.00038211,             0.00038211
                     40,                0.29724,                 0.3182,                0.85482,                0.97001,                0.96259,                0.98317,                0.97183,                0.17018,                0.18464,                0.77698,             0.00035382,             0.00035382,             0.00035382
                     41,                0.21958,                0.21727,                0.80472,                0.95281,                0.94851,                0.97942,                0.96329,                 0.1815,                0.20719,                0.77989,             0.00032553,             0.00032553,             0.00032553
                     42,                0.22031,                0.21518,                0.81067,                0.95608,                0.96714,                0.98096,                0.96838,                0.17029,                0.19882,                0.77478,             0.00029723,             0.00029723,             0.00029723
                     43,                0.21315,                0.20537,                0.80339,                0.97469,                0.95379,                0.98093,                0.96898,                0.16724,                0.18641,                0.77385,             0.00026894,             0.00026894,             0.00026894
                     44,                0.21139,                0.20262,                0.79622,                0.97434,                0.97253,                0.98464,                0.97404,                0.16316,                0.17366,                0.77326,             0.00024064,             0.00024064,             0.00024064
                     45,                0.20502,                0.18451,                0.79768,                0.97746,                 0.9604,                0.98542,                0.97388,                 0.1606,                0.17021,                0.77195,             0.00021235,             0.00021235,             0.00021235
                     46,                0.20041,                0.18361,                0.79608,                0.96666,                0.96214,                0.98305,                0.97154,                0.17036,                0.19523,                0.77602,             0.00018406,             0.00018406,             0.00018406
                     47,                0.19591,                0.18288,                0.79412,                0.96897,                  0.973,                0.98477,                0.97497,                0.15739,                0.17403,                0.77157,             0.00015576,             0.00015576,             0.00015576
                     48,                0.19242,                0.17473,                0.79424,                0.97488,                0.96781,                0.98656,                0.97783,                0.15425,                0.16697,                0.77104,             0.00012747,             0.00012747,             0.00012747
                     49,                0.18944,                0.17132,                0.79478,                0.95899,                0.97222,                0.98495,                0.97755,                0.14929,                0.16757,                0.77077,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     50,                0.18139,                0.15914,                0.78966,                 0.9826,                0.96365,                0.98554,                0.97749,                0.14604,                 0.1574,                0.76944,             7.0878e-05,             7.0878e-05,             7.0878e-05
