                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.45413,                0.44377,                 1.5173,                0.92435,                0.94887,                0.96158,                 0.6491,                 1.0905,                0.49942,                 4.1324,             0.00096215,             0.00096215,             0.00096215
                     36,                0.43673,                0.41784,                 1.4838,                0.92975,                0.93283,                0.97353,                0.64864,                 1.0967,                0.48441,                 4.3787,               0.000948,               0.000948,               0.000948
                     37,                 0.4349,                0.41766,                 1.4809,                0.93749,                0.93787,                0.97323,                0.63921,                 1.1101,                0.50082,                 4.4072,             0.00093385,             0.00093385,             0.00093385
                     38,                0.43538,                0.41123,                 1.4813,                0.94412,                0.93929,                0.97031,                0.64881,                  1.104,                0.52926,                  4.487,              0.0009197,              0.0009197,              0.0009197
                     39,                0.43963,                0.41136,                 1.4926,                0.95245,                0.94287,                0.97374,                 0.6609,                 1.1029,                0.49728,                 4.3385,             0.00090556,             0.00090556,             0.00090556
                     40,                0.43776,                0.40988,                 1.4927,                0.92069,                0.95808,                 0.9715,                0.64513,                 1.1168,                0.49617,                 4.4216,             0.00089141,             0.00089141,             0.00089141
                     41,                0.42606,                0.41184,                 1.4892,                0.93634,                0.93541,                0.96389,                0.64821,                 1.0755,                0.52182,                 4.1266,             0.00087726,             0.00087726,             0.00087726
                     42,                0.42586,                0.40637,                  1.474,                0.93597,                0.93439,                0.96285,                0.67119,                 1.0642,                0.49331,                 4.3221,             0.00086312,             0.00086312,             0.00086312
                     43,                0.42876,                0.41082,                 1.4792,                0.92008,                0.95254,                0.95835,                0.64533,                 1.0526,                0.50347,                 4.1756,             0.00084897,             0.00084897,             0.00084897
                     44,                0.42366,                0.39229,                 1.4688,                0.94589,                0.94456,                0.97343,                0.67253,                 1.0807,                0.48654,                 4.1741,             0.00083482,             0.00083482,             0.00083482
                     45,                 0.4216,                0.39992,                   1.49,                0.93353,                0.94891,                 0.9749,                0.66996,                 1.0816,                 0.4849,                 4.4164,             0.00082067,             0.00082067,             0.00082067
                     46,                0.42331,                0.41046,                 1.4618,                0.95395,                0.93994,                0.97731,                0.64681,                 1.0944,                0.47379,                 4.6968,             0.00080653,             0.00080653,             0.00080653
                     47,                0.41665,                0.38934,                 1.4421,                0.96138,                0.94397,                0.97844,                0.66456,                 1.1209,                0.48455,                 4.5635,             0.00079238,             0.00079238,             0.00079238
                     48,                 0.4085,                0.38963,                 1.4439,                0.96472,                0.93536,                0.98118,                0.68556,                 1.0802,                0.46296,                 4.5588,             0.00077823,             0.00077823,             0.00077823
                     49,                0.41635,                0.38333,                 1.4581,                0.95553,                0.93174,                0.97188,                0.67086,                 1.0738,                 0.4841,                  4.555,             0.00076409,             0.00076409,             0.00076409
                     50,                0.41308,                0.37973,                 1.4603,                0.94775,                 0.9314,                0.96544,                0.65472,                 1.0841,                 0.5032,                 4.7255,             0.00074994,             0.00074994,             0.00074994
                     51,                0.41351,                0.38126,                 1.4724,                0.94711,                0.95166,                0.97028,                0.64887,                 1.0812,                0.49289,                 4.5072,             0.00073579,             0.00073579,             0.00073579
                     52,                0.40733,                0.37855,                 1.4508,                0.94412,                0.94572,                0.96946,                0.68071,                 1.0728,                  0.482,                 4.4539,             0.00072164,             0.00072164,             0.00072164
                     53,                0.40649,                0.36878,                 1.4562,                0.96145,                0.95401,                0.97634,                0.65652,                 1.0734,                0.45857,                 4.3692,              0.0007075,              0.0007075,              0.0007075
                     54,                0.41389,                 0.3818,                  1.478,                0.94285,                0.94976,                0.97456,                0.65606,                 1.0882,                0.48416,                 4.6593,             0.00069335,             0.00069335,             0.00069335
                     55,                0.40022,                0.37402,                 1.4543,                0.95526,                0.94169,                0.96606,                0.64929,                 1.0826,                0.49025,                 4.4889,              0.0006792,              0.0006792,              0.0006792
                     56,                0.39697,                0.36379,                 1.4303,                0.93899,                0.94589,                0.96664,                0.67194,                 1.0967,                0.47437,                 4.8019,             0.00066506,             0.00066506,             0.00066506
                     57,                0.39772,                0.37513,                 1.4518,                0.92845,                0.92153,                0.95519,                0.62898,                 1.0737,                0.52038,                  4.423,             0.00065091,             0.00065091,             0.00065091
                     58,                0.39255,                0.36685,                 1.4174,                0.94896,                0.93802,                0.97469,                  0.682,                 1.0847,                0.47169,                 4.7124,             0.00063676,             0.00063676,             0.00063676
                     59,                0.40032,                0.36209,                  1.445,                0.93686,                0.95727,                0.97265,                0.64836,                 1.0959,                0.47895,                 4.5903,             0.00062262,             0.00062262,             0.00062262
                     60,                0.40114,                  0.359,                 1.4442,                0.96484,                0.94954,                0.97232,                0.67443,                 1.0765,                0.46373,                 4.5804,             0.00060847,             0.00060847,             0.00060847
                     61,                0.39748,                0.36504,                 1.4304,                0.93776,                0.96024,                0.97576,                0.65667,                 1.0804,                0.46828,                 4.7565,             0.00059432,             0.00059432,             0.00059432
                     62,                0.39153,                0.35478,                 1.4445,                0.96592,                0.92313,                0.97453,                  0.687,                 1.0642,                0.47503,                 4.3313,             0.00058017,             0.00058017,             0.00058017
                     63,                0.39083,                0.34947,                 1.4313,                0.95347,                0.94968,                0.97774,                0.69042,                 1.0782,                0.47102,                 4.4791,             0.00056603,             0.00056603,             0.00056603
                     64,                0.39934,                0.36197,                  1.437,                0.95622,                0.95839,                0.97091,                0.67338,                 1.0768,                0.46207,                 4.5998,             0.00055188,             0.00055188,             0.00055188
                     65,                0.38911,                0.34521,                 1.4256,                0.95731,                0.92902,                0.97016,                0.68273,                 1.0682,                0.48168,                 4.5294,             0.00053773,             0.00053773,             0.00053773
                     66,                0.37952,                0.34196,                 1.4327,                0.95411,                0.93922,                0.97357,                0.67594,                 1.0697,                0.47212,                 4.7106,             0.00052359,             0.00052359,             0.00052359
                     67,                0.37877,                0.34207,                 1.4099,                0.93965,                0.94861,                 0.9671,                0.67839,                 1.0563,                0.48131,                 4.4988,             0.00050944,             0.00050944,             0.00050944
                     68,                0.37936,                0.34234,                  1.423,                 0.9525,                0.95525,                0.97759,                0.67541,                 1.0746,                0.46135,                 4.7792,             0.00049529,             0.00049529,             0.00049529
                     69,                0.37684,                0.34387,                 1.4179,                0.94656,                0.94794,                0.96758,                0.67945,                 1.0702,                0.46843,                 4.5345,             0.00048114,             0.00048114,             0.00048114
                     70,                0.37765,                0.34834,                 1.4214,                0.94956,                0.95533,                0.97801,                0.66343,                 1.1027,                0.47231,                 4.7588,               0.000467,               0.000467,               0.000467
                     71,                0.37953,                0.33983,                  1.403,                0.96175,                0.94707,                 0.9727,                0.67917,                  1.064,                0.45893,                 4.5415,             0.00045285,             0.00045285,             0.00045285
                     72,                0.37714,                0.33118,                 1.4104,                0.95587,                0.94303,                0.97316,                 0.6853,                 1.0733,                0.46599,                 4.5715,              0.0004387,              0.0004387,              0.0004387
                     73,                0.37568,                 0.3385,                 1.4139,                0.94534,                0.95422,                0.98041,                0.69247,                 1.0776,                0.45138,                 4.5755,             0.00042456,             0.00042456,             0.00042456
                     74,                0.37438,                0.33212,                  1.419,                0.95621,                0.95725,                0.98042,                0.67975,                 1.0613,                0.45022,                 4.6161,             0.00041041,             0.00041041,             0.00041041
                     75,                 0.3736,                0.32583,                 1.4123,                0.95575,                0.93347,                0.97897,                0.68969,                 1.0663,                0.47093,                 4.7069,             0.00039626,             0.00039626,             0.00039626
                     76,                0.37608,                0.32843,                 1.4163,                0.96484,                0.94613,                0.97949,                 0.6843,                 1.0819,                0.45797,                  4.479,             0.00038211,             0.00038211,             0.00038211
